id;start_date;end_date;language
1;2022-01-02T16:35:56;2022-01-02T14:26:11;ENGLISH
2;2022-01-02T02:03:31;2022-01-02T11:29:00;FRENCH
3;2022-01-02T11:59:43;2022-01-02T00:04:51;SPANISH
4;2022-01-02T16:30:32;2022-01-01T21:56:51;FRENCH
5;2022-01-02T18:46:55;2022-01-02T03:05:53;ENGLISH
6;2022-01-02T04:17:38;2022-01-02T18:17:58;SPANISH
7;2022-01-02T12:21:26;2022-01-01T22:55:35;FRENCH
8;2022-01-02T02:47:19;2022-01-01T23:23:08;FRENCH
9;2022-01-02T03:38:57;2022-01-02T15:10:23;FRENCH
10;2022-01-01T23:35:55;2022-01-02T16:33:24;FRENCH
